year,exporter_country_code,exporter_name,import_value_usd,quantity_mt,num_products,year_total_usd,market_share_pct,data_source,importer,hs_scope
1995,842,USA,70872182.0,1149.3400000000001,6,237448492.0,29.847,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,702,Singapore,40254113.0,1935.833,6,237448492.0,16.953,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,784,Other,31565411.0,17.756999999999998,3,237448492.0,13.294,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,392,Japan,26765880.0,964.1510000000001,6,237448492.0,11.272,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,276,Germany,14732316.0,150.729,6,237448492.0,6.204,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,490,Taiwan,11906631.0,687.765,6,237448492.0,5.014,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,344,Hong Kong,10230918.0,1138.797,6,237448492.0,4.309,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,410,South Korea,8093081.0,166.172,6,237448492.0,3.408,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,826,UK,5653384.0,27.913,6,237448492.0,2.381,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,458,Malaysia,4788088.0,976.6759999999999,6,237448492.0,2.016,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,251,Other,2451137.0,10.607000000000001,6,237448492.0,1.032,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,156,China,1848384.0,316.177,6,237448492.0,0.778,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,528,Netherlands,1296999.0,14.185,6,237448492.0,0.546,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,757,Other,970971.0,3.8000000000000003,6,237448492.0,0.409,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,380,Italy,957399.0,27.579,6,237448492.0,0.403,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,608,Philippines,789936.0,31.972,5,237448492.0,0.333,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,36,Australia,784293.0,8.484,6,237448492.0,0.33,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,764,Thailand,704259.0,29.476,5,237448492.0,0.297,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,40,Austria,591378.0,5.567,6,237448492.0,0.249,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,408,Other,297249.0,7.563,4,237448492.0,0.125,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,752,Sweden,283631.0,3.508,6,237448492.0,0.119,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,208,Other,273370.0,4.481999999999999,5,237448492.0,0.115,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,76,Brazil,237745.0,1.695,2,237448492.0,0.1,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
1995,124,Canada,211664.0,5.105,4,237448492.0,0.089,CEPII BACI HS92 V202601,India (code 699),HS 8542 + HS 3818
