year,importer_country,importer_baci_code,import_value_usd_billions,real_value_2015usd_billions,total_import_value_usd,real_import_value_2015usd,hs8542_import_usd,hs8542_share_pct,hs3818_import_usd,hs3818_share_pct,total_quantity_mt,yoy_nominal_growth_pct,yoy_real_growth_pct,num_exporting_countries,num_hs6_products,num_transactions,top_exporter_name,top3_supplier_share_pct,china_import_usd,china_share_pct,supplier_hhi,gdp_deflator_2015_100,dummy_post_2018_inflection,dummy_covid_shock_2020,dummy_global_chip_shortage_2021,dummy_pli_scheme_launch,dummy_micron_mou_2023,dummy_tata_fab_groundbreaking,dummy_india_semicon_mission,dgft_monthly_available,hs8486_equip_import_usd_placeholder,domestic_production_volume_placeholder,data_source,deflator_source,log_real_import,log_diff,first_diff_real,rolling3_real,lag1_real,lag2_real,china_share_squared,hhi_diff
1995,India,699,0.2374,0.8695,237448492.0,869456214,228333389.0,96.16,9115103.0,3.84,7707.073,,,45,6,179,USA,60.09,1848384.0,0.78,0.051122,27.31,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.13983694518779927,,,0.8695,,,0.6084,
1996,India,699,0.1541,0.5107,154142121.0,510742614,148134418.0,96.1,6007703.0,3.9,1546.985,-35.08,-41.26,42,6,169,Singapore,60.59,1115117.0,0.72,0.084009,30.18,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.6719729453285388,-0.5321360001407396,-0.3588,0.6901,0.8695,,0.5184,0.032887
1997,India,699,0.2296,0.707,229645854.0,707037728,219654771.0,95.65,9991083.0,4.35,1592.944,48.98,38.43,49,6,195,Singapore,58.27,3701948.0,1.61,0.079172,32.48,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.34672461308556435,0.32524833224297445,0.19629999999999992,0.6957333333333334,0.5107,0.8695,2.5921000000000003,-0.004836999999999994
1998,India,699,0.2462,0.6799,246175900.0,679856117,232595667.0,94.48,13580233.0,5.52,1691.663,7.2,-3.84,50,6,186,Singapore,46.16,7487234.0,3.04,0.062165,36.21,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.38580955044972315,-0.0390849373641588,-0.027100000000000013,0.6325333333333334,0.707,0.5107,9.2416,-0.017007000000000008
1999,India,699,0.3221,0.8458,322146415.0,845750630,314095216.0,97.5,8051199.0,2.5,2944.689,30.86,24.4,56,6,209,Singapore,51.16,8422416.0,2.61,0.061731,38.09,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.16747235394374885,0.2183371965059743,0.16590000000000005,0.7442333333333333,0.6799,0.707,6.812099999999999,-0.0004339999999999969
2000,India,699,0.3358,0.8422,335775040.0,842174668,316335034.0,94.21,19440006.0,5.79,10771.688,4.23,-0.42,60,6,221,Singapore,47.77,9974476.0,2.97,0.058262,39.87,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.17173776325430973,-0.00426540931056088,-0.0036000000000000476,0.7893,0.8458,0.6799,8.820900000000002,-0.003469
2001,India,699,0.3394,0.8053,339446767.0,805330408,313932915.0,92.48,25513852.0,7.52,1355.039,1.09,-4.37,61,6,238,Singapore,53.41,9970951.0,2.94,0.058192,42.15,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.2165404001806378,-0.04480263692632808,-0.03689999999999993,0.8311000000000001,0.8422,0.8458,8.6436,-7.000000000000062e-05
2002,India,699,0.3582,0.8026,358197341.0,802593191,334144285.0,93.28,24053056.0,6.72,4308.232,5.52,-0.34,62,6,241,Singapore,48.49,18862786.0,5.27,0.045906,44.63,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.21989882114932072,-0.0033584209686829125,-0.0027000000000000357,0.8167,0.8053,0.8422,27.772899999999996,-0.012285999999999998
2003,India,699,0.4471,0.9345,447056910.0,934483508,418700653.0,93.66,28356257.0,6.34,3483.603,24.81,16.43,67,6,254,Singapore,52.29,23035368.0,5.15,0.03874,47.84,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.06774365208651953,0.1521551690628012,0.13190000000000002,0.8474666666666666,0.8026,0.8053,26.522500000000004,-0.007166000000000006
2004,India,699,0.4895,0.9482,489467410.0,948212728,459141876.0,93.8,30325534.0,6.2,3418.202,9.49,1.47,60,6,245,Singapore,45.66,33668110.0,6.88,0.040877,51.62,0,0,0,0,0,0,0,0,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx),-0.05318982851411905,0.014553823572400482,0.013700000000000045,0.8950999999999999,0.9345,0.8026,47.334399999999995,0.002137
