year,exporter_country_code,importer_country_code,hs_product_code,hs_chapter,hs_description,trade_value_1000usd,trade_value_usd,quantity_metric_tons
1995,36,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),32.588,32588.0,0.299
1995,40,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),27.255,27255.0,0.06
1995,76,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),235.618,235618.0,1.496
1995,124,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1.451,1451.0,0.004
1995,156,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),4.035,4035.0,0.028
1995,203,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),62.393,62393.0,0.269
1995,208,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),149.107,149107.0,2.562
1995,246,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),55.856,55856.0,0.094
1995,251,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),408.984,408984.0,0.801
1995,276,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),2957.89,2957890.0,13.647
1995,344,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),200.461,200461.0,1.125
1995,360,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),14.232,14232.0,0.038
1995,376,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),9.0,9000.0,
1995,380,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),338.614,338614.0,15.937
1995,392,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1390.699,1390699.0,5.704
1995,408,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),11.535,11535.0,0.011
1995,410,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),250.398,250398.0,0.324
1995,458,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),180.415,180415.0,161.78
1995,490,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),34.637,34637.0,0.043
1995,528,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),8.532,8532.0,0.014
1995,643,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),24.8,24800.0,0.226
1995,702,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),278.442,278442.0,0.543
1995,716,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),14.563,14563.0,0.097
1995,752,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),0.715,715.0,0.008
1995,757,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),277.879,277879.0,0.492
1995,826,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),181.963,181963.0,2.016
1995,842,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1963.041,1963041.0,5.02
1995,36,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),619.175,619175.0,0.78
1995,40,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),311.946,311946.0,0.971
1995,124,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),93.093,93093.0,0.243
1995,156,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),148.801,148801.0,3.254
1995,208,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.573,1573.0,0.001
1995,246,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.79,1790.0,0.001
1995,251,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),454.64,454640.0,2.945
1995,276,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),6118.627,6118627.0,82.316
1995,344,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1760.847,1760847.0,11.296
1995,372,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),46.571,46571.0,0.029
1995,380,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),68.153,68153.0,0.252
1995,392,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),2347.943,2347943.0,13.855
1995,410,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1288.283,1288283.0,2.643
1995,458,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),383.535,383535.0,5.815
1995,490,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1544.304,1544304.0,5.656
1995,528,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),470.999,470999.0,4.546
1995,608,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),420.676,420676.0,0.167
1995,642,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),2.0,2000.0,
1995,702,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),6279.682,6279682.0,27.961
1995,711,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.127,1127.0,
1995,752,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),109.089,109089.0,0.253
1995,757,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),172.956,172956.0,0.251
1995,764,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),19.751,19751.0,0.038
1995,826,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),325.225,325225.0,2.115
1995,842,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),20714.438,20714438.0,69.433
1995,36,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),17.217,17217.0,0.022
1995,40,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),232.763,232763.0,1.113
1995,58,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),37.156,37156.0,0.041
1995,124,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),37.027,37027.0,0.068
1995,156,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),545.149,545149.0,8.01
1995,208,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),78.714,78714.0,0.036
1995,251,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),896.064,896064.0,1.494
1995,276,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),2380.014,2380014.0,5.169
1995,344,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),5076.813,5076813.0,53.463
1995,348,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),27.176,27176.0,0.334
1995,360,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),1.849,1849.0,0.002
1995,372,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),56.396,56396.0,0.49
1995,376,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),32.044,32043.999999999996,0.035
1995,380,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),328.354,328354.0,0.581
1995,392,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),12741.095,12741095.0,47.535
1995,408,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),74.55,74550.0,0.19
1995,410,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),2699.954,2699954.0,13.584
1995,414,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),79.273,79273.0,0.004
1995,458,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),1348.018,1348018.0,7.605
1995,480,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),1.95,1950.0,0.007
1995,484,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),7.575,7575.0,0.004
1995,490,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),6739.782,6739782.0,29.306
1995,524,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),4.224,4224.0,0.043
1995,528,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),680.027,680027.0,2.799
1995,579,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),10.338,10338.0,0.022
1995,608,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),313.054,313054.0,0.916
1995,616,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),10.51,10510.0,0.278
1995,642,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),18.756,18756.0,0.606
1995,643,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),22.433,22433.0,0.027
1995,702,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),23601.869,23601869.0,145.564
1995,705,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),6.347,6347.0,0.107
1995,711,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),34.835,34835.0,0.088
1995,724,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),10.229,10229.0,0.005
1995,752,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),40.549,40549.0,0.074
